['neg', 'pos']
0, 0
1, 0
2, 0
3, 1
4, 1
5, 0
6, 1
7, 1
8, 1
9, 0
10, 0
11, 1
12, 0
13, 0
14, 1
15, 1
16, 0
17, 1
18, 1
19, 1
20, 0
21, 1
22, 0
23, 0
24, 0
25, 0
26, 1
27, 0
28, 1
29, 1
30, 0
31, 1
32, 0
33, 0
34, 0
35, 1
36, 0
37, 0
38, 1
39, 0
40, 0
41, 1
42, 0
43, 1
44, 1
45, 0
46, 0
47, 1
48, 0
49, 1
50, 1
51, 0
52, 1
53, 1
54, 0
55, 1
56, 1
57, 1
58, 1
59, 0
60, 1
61, 1
62, 0
63, 0
64, 0
65, 1
66, 0
67, 1
68, 0
69, 1
70, 0
71, 0
72, 0
73, 1
74, 1
75, 0
76, 1
77, 1
78, 0
79, 1
80, 0
81, 0
82, 0
83, 1
84, 0
85, 0
86, 0
87, 1
88, 1
89, 1
90, 0
91, 1
92, 0
93, 0
94, 1
95, 1
96, 0
97, 1
98, 0
99, 0
100, 0
101, 0
102, 1
103, 0
104, 0
105, 0
106, 0
107, 0
108, 0
109, 1
110, 0
111, 0
112, 1
113, 1
114, 1
115, 0
116, 0
117, 1
118, 1
119, 0
120, 1
121, 0
122, 0
123, 0
124, 0
125, 1
126, 1
127, 1
128, 1
129, 1
130, 0
131, 0
132, 1
133, 0
134, 0
135, 0
136, 0
137, 1
138, 1
139, 0
140, 1
141, 1
142, 0
143, 0
144, 1
145, 0
146, 0
147, 0
148, 0
149, 1
150, 0
151, 0
152, 1
153, 0
154, 1
155, 1
156, 1
157, 1
158, 1
159, 1
160, 1
161, 0
162, 1
163, 1
164, 1
165, 1
166, 0
167, 0
168, 1
169, 0
170, 1
171, 1
172, 0
173, 1
174, 1
175, 1
176, 1
177, 1
178, 1
179, 1
180, 1
181, 0
182, 1
183, 1
184, 0
185, 0
186, 0
187, 1
188, 1
189, 0
190, 0
191, 0
192, 0
193, 1
194, 0
195, 0
196, 1
197, 0
198, 1
199, 1
200, 0
201, 1
202, 0
203, 0
204, 1
205, 0
206, 0
207, 1
208, 0
209, 1
210, 1
211, 1
212, 0
213, 1
214, 1
215, 0
216, 1
217, 1
218, 1
219, 0
220, 0
221, 1
222, 1
223, 1
224, 0
225, 0
226, 1
227, 0
228, 1
229, 1
230, 1
231, 1
232, 0
233, 1
234, 1
235, 0
236, 1
237, 1
238, 1
239, 1
240, 1
241, 1
242, 0
243, 0
244, 0
245, 0
246, 0
247, 1
248, 1
249, 1
250, 1
251, 1
252, 0
253, 0
254, 1
255, 1
256, 0
257, 1
258, 0
259, 1
260, 0
261, 0
262, 0
263, 1
264, 1
265, 0
266, 1
267, 1
268, 1
269, 0
270, 1
271, 1
272, 1
273, 0
274, 0
275, 1
276, 0
277, 0
278, 0
279, 1
280, 1
281, 1
282, 0
283, 0
284, 0
285, 1
286, 1
287, 1
288, 0
289, 0
290, 0
291, 1
292, 0
293, 1
294, 1
295, 1
296, 0
297, 0
298, 0
299, 0
300, 0
301, 1
302, 1
303, 0
304, 1
305, 1
306, 1
307, 1
308, 0
309, 1
310, 0
311, 1
312, 0
313, 1
314, 1
315, 1
316, 0
317, 0
318, 1
319, 1
320, 1
321, 0
322, 0
323, 1
324, 1
325, 1
326, 0
327, 1
328, 0
329, 1
330, 1
331, 1
332, 0
333, 0
334, 0
335, 1
336, 1
337, 0
338, 0
339, 1
340, 0
341, 0
342, 0
343, 0
344, 1
345, 0
346, 0
347, 0
348, 0
349, 0
350, 1
351, 0
352, 1
353, 0
354, 1
355, 0
356, 0
357, 1
358, 1
359, 0
360, 0
361, 0
362, 1
363, 0
364, 1
365, 1
366, 0
367, 0
368, 0
369, 1
370, 0
371, 0
372, 0
373, 1
374, 1
375, 0
376, 0
377, 1
378, 0
379, 0
380, 1
381, 1
382, 1
383, 1
384, 0
385, 0
386, 1
387, 1
388, 0
389, 0
390, 0
391, 1
392, 1
393, 0
394, 1
395, 0
396, 1
397, 0
398, 0
399, 0
400, 0
401, 1
402, 1
403, 1
404, 1
405, 0
406, 0
407, 0
408, 0
409, 1
410, 0
411, 0
412, 0
413, 0
414, 1
415, 1
416, 1
417, 0
418, 1
419, 1
420, 1
421, 1
422, 1
423, 1
424, 0
