['neg', 'pos']
0, 0
1, 0
2, 1
3, 1
4, 1
5, 0
6, 1
7, 1
8, 0
9, 0
10, 0
11, 1
12, 1
13, 0
14, 1
15, 0
16, 0
17, 1
18, 1
19, 0
20, 0
21, 1
22, 0
23, 1
24, 1
25, 1
26, 1
27, 0
28, 1
29, 1
30, 0
31, 1
32, 1
33, 0
34, 1
35, 1
36, 1
37, 0
38, 1
39, 1
40, 0
41, 1
42, 0
43, 1
44, 1
45, 1
46, 0
47, 0
48, 0
49, 1
50, 0
51, 1
52, 0
53, 1
54, 1
55, 0
56, 1
57, 1
58, 1
59, 1
60, 0
61, 1
62, 1
63, 1
64, 0
65, 1
66, 0
67, 0
68, 1
69, 1
70, 0
71, 0
72, 0
73, 1
74, 1
75, 1
76, 1
77, 1
78, 0
79, 1
80, 0
81, 0
82, 0
83, 0
84, 1
85, 0
86, 0
87, 0
88, 1
89, 1
90, 1
91, 0
92, 0
93, 0
94, 1
95, 1
96, 0
97, 1
98, 1
99, 0
100, 0
101, 1
102, 1
103, 0
104, 1
105, 0
106, 0
107, 1
108, 1
109, 1
110, 0
111, 1
112, 1
113, 1
114, 1
115, 0
116, 1
117, 0
118, 1
119, 0
120, 1
121, 1
122, 0
123, 0
124, 0
125, 1
126, 1
127, 1
128, 1
129, 1
130, 0
131, 1
132, 1
133, 0
134, 1
135, 0
136, 0
137, 0
138, 1
139, 1
140, 1
141, 0
142, 0
143, 0
144, 1
145, 0
146, 1
147, 1
148, 0
149, 1
150, 0
151, 0
152, 1
153, 0
154, 0
155, 1
156, 1
157, 1
158, 1
159, 1
160, 1
161, 0
162, 0
163, 1
164, 1
165, 1
166, 0
167, 0
168, 0
169, 0
170, 0
171, 0
172, 0
173, 1
174, 1
175, 0
176, 1
177, 0
178, 1
179, 1
180, 1
181, 0
182, 1
183, 1
184, 0
185, 0
186, 0
187, 1
188, 1
189, 0
190, 0
191, 1
192, 0
193, 1
194, 0
195, 0
196, 1
197, 0
198, 1
199, 1
200, 0
201, 1
202, 1
203, 1
204, 1
205, 0
206, 0
207, 1
208, 0
209, 1
210, 1
211, 1
212, 1
213, 1
214, 1
215, 0
216, 1
217, 0
218, 1
219, 0
220, 0
221, 1
222, 0
223, 1
224, 1
225, 0
226, 0
227, 1
228, 0
229, 1
230, 1
231, 1
232, 0
233, 1
234, 1
235, 0
236, 1
237, 1
238, 1
239, 1
240, 1
241, 1
242, 0
243, 0
244, 1
245, 1
246, 0
247, 1
248, 1
249, 0
250, 1
251, 1
252, 0
253, 0
254, 1
255, 0
256, 0
257, 0
258, 0
259, 1
260, 0
261, 0
262, 0
263, 1
264, 0
265, 0
266, 1
267, 1
268, 1
269, 0
270, 1
271, 1
272, 0
273, 0
274, 0
275, 0
276, 0
277, 0
278, 0
279, 1
280, 1
281, 0
282, 0
283, 0
284, 0
285, 0
286, 1
287, 1
288, 0
289, 0
290, 0
291, 1
292, 0
293, 1
294, 1
295, 1
296, 1
297, 0
298, 1
299, 0
300, 0
301, 1
302, 0
303, 0
304, 0
305, 1
306, 1
307, 1
308, 1
309, 1
310, 0
311, 0
312, 1
313, 1
314, 1
315, 0
316, 0
317, 1
318, 1
319, 0
320, 0
321, 0
322, 0
323, 1
324, 1
325, 1
326, 0
327, 1
328, 0
329, 1
330, 1
331, 0
332, 0
333, 0
334, 0
335, 0
336, 1
337, 1
338, 0
339, 1
340, 1
341, 0
342, 0
343, 0
344, 1
345, 1
346, 1
347, 0
348, 0
349, 0
350, 1
351, 0
352, 0
353, 0
354, 0
355, 0
356, 0
357, 1
358, 1
359, 0
360, 0
361, 0
362, 1
363, 1
364, 0
365, 1
366, 1
367, 1
368, 1
369, 1
370, 0
371, 0
372, 0
373, 1
374, 1
375, 1
376, 0
377, 0
378, 0
379, 0
380, 0
381, 0
382, 0
383, 0
384, 0
385, 1
386, 1
387, 1
388, 0
389, 0
390, 1
391, 1
392, 1
393, 1
394, 1
395, 0
396, 1
397, 1
398, 0
399, 0
400, 1
401, 1
402, 1
403, 1
404, 1
405, 0
406, 1
407, 0
408, 1
409, 1
410, 0
411, 0
412, 1
413, 1
414, 1
415, 1
416, 1
417, 1
418, 1
419, 1
420, 0
421, 1
422, 0
423, 1
424, 1
