['neg', 'pos']
0, 0
1, 1
2, 0
3, 1
4, 1
5, 0
6, 1
7, 0
8, 0
9, 1
10, 1
11, 1
12, 1
13, 0
14, 1
15, 0
16, 1
17, 0
18, 0
19, 1
20, 1
21, 1
22, 0
23, 1
24, 0
25, 0
26, 1
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 0
34, 1
35, 1
36, 1
37, 0
38, 0
39, 1
40, 0
41, 1
42, 1
43, 1
44, 1
45, 1
46, 0
47, 0
48, 0
49, 1
50, 1
51, 0
52, 1
53, 1
54, 1
55, 1
56, 1
57, 1
58, 0
59, 0
60, 0
61, 1
62, 0
63, 1
64, 0
65, 0
66, 0
67, 1
68, 0
69, 1
70, 0
71, 1
72, 0
73, 1
74, 1
75, 0
76, 1
77, 1
78, 0
79, 1
80, 0
81, 0
82, 0
83, 1
84, 0
85, 0
86, 1
87, 0
88, 1
89, 0
90, 1
91, 1
92, 1
93, 0
94, 1
95, 1
96, 1
97, 1
98, 1
99, 0
100, 0
101, 0
102, 0
103, 0
104, 0
105, 0
106, 0
107, 1
108, 1
109, 0
110, 0
111, 1
112, 0
113, 1
114, 1
115, 0
116, 0
117, 1
118, 1
119, 0
120, 0
121, 0
122, 0
123, 0
124, 1
125, 0
126, 0
127, 1
128, 0
129, 0
130, 0
131, 1
132, 1
133, 0
134, 1
135, 1
136, 0
137, 1
138, 0
139, 1
140, 1
141, 1
142, 0
143, 0
144, 0
145, 0
146, 1
147, 1
148, 0
149, 1
150, 1
151, 0
152, 1
153, 1
154, 0
155, 1
156, 1
157, 1
158, 1
159, 1
160, 1
161, 0
162, 0
163, 1
164, 1
165, 0
166, 0
167, 0
168, 1
169, 1
170, 1
171, 1
172, 0
173, 1
174, 1
175, 1
176, 1
177, 0
178, 1
179, 1
180, 0
181, 0
182, 1
183, 1
184, 0
185, 0
186, 1
187, 0
188, 1
189, 0
190, 0
191, 0
192, 1
193, 0
194, 0
195, 0
196, 1
197, 0
198, 1
199, 1
200, 1
201, 1
202, 0
203, 1
204, 1
205, 0
206, 0
207, 1
208, 0
209, 1
210, 1
211, 1
212, 0
213, 1
214, 1
215, 0
216, 1
217, 1
218, 1
219, 0
220, 0
221, 1
222, 0
223, 1
224, 1
225, 0
226, 1
227, 0
228, 1
229, 0
230, 0
231, 1
232, 0
233, 1
234, 0
235, 0
236, 0
237, 1
238, 1
239, 0
240, 1
241, 1
242, 0
243, 0
244, 1
245, 0
246, 0
247, 1
248, 1
249, 0
250, 1
251, 0
252, 0
253, 0
254, 1
255, 1
256, 0
257, 1
258, 0
259, 0
260, 0
261, 0
262, 1
263, 1
264, 1
265, 0
266, 0
267, 0
268, 0
269, 0
270, 1
271, 1
272, 1
273, 0
274, 0
275, 0
276, 0
277, 0
278, 0
279, 1
280, 1
281, 0
282, 0
283, 0
284, 1
285, 0
286, 0
287, 0
288, 0
289, 0
290, 0
291, 1
292, 1
293, 0
294, 0
295, 1
296, 0
297, 1
298, 1
299, 1
300, 1
301, 1
302, 1
303, 0
304, 0
305, 1
306, 0
307, 1
308, 0
309, 0
310, 0
311, 1
312, 1
313, 1
314, 1
315, 1
316, 1
317, 0
318, 1
319, 1
320, 1
321, 0
322, 0
323, 0
324, 0
325, 1
326, 0
327, 0
328, 0
329, 1
330, 1
331, 1
332, 0
333, 0
334, 1
335, 0
336, 0
337, 1
338, 0
339, 1
340, 1
341, 0
342, 1
343, 0
344, 1
345, 1
346, 0
347, 0
348, 1
349, 0
350, 0
351, 0
352, 1
353, 0
354, 0
355, 0
356, 0
357, 1
358, 1
359, 1
360, 0
361, 0
362, 1
363, 0
364, 0
365, 0
366, 1
367, 1
368, 1
369, 0
370, 1
371, 0
372, 1
373, 1
374, 1
375, 0
376, 1
377, 0
378, 0
379, 0
380, 1
381, 1
382, 0
383, 0
384, 0
385, 1
386, 1
387, 1
388, 0
389, 0
390, 1
391, 1
392, 1
393, 0
394, 1
395, 0
396, 1
397, 1
398, 1
399, 0
400, 0
401, 1
402, 0
403, 1
404, 1
405, 0
406, 1
407, 0
408, 1
409, 0
410, 0
411, 0
412, 0
413, 1
414, 1
415, 1
416, 1
417, 1
418, 1
419, 1
420, 0
421, 1
422, 0
423, 0
424, 1
425, 0
426, 1
427, 0
428, 1
429, 0
430, 0
431, 1
432, 1
433, 0
434, 1
435, 1
436, 0
437, 1
438, 0
439, 0
440, 1
441, 1
442, 0
443, 0
444, 0
445, 0
446, 1
447, 1
448, 0
449, 1
450, 0
451, 0
452, 0
453, 1
454, 1
455, 1
456, 1
457, 1
458, 1
459, 0
460, 0
461, 0
462, 0
463, 1
464, 0
465, 0
466, 1
467, 0
468, 1
469, 0
470, 1
471, 1
472, 0
473, 1
474, 0
475, 0
476, 1
477, 0
478, 1
479, 0
480, 1
481, 0
482, 1
483, 0
484, 1
485, 0
486, 1
487, 0
488, 1
489, 0
490, 1
491, 1
492, 0
493, 1
494, 0
495, 1
496, 0
497, 0
498, 0
499, 1
500, 1
501, 1
502, 0
503, 0
504, 0
505, 1
506, 0
507, 1
508, 1
509, 1
510, 1
511, 1
512, 1
513, 1
514, 0
515, 0
516, 1
517, 1
518, 1
519, 0
520, 1
521, 1
522, 1
523, 0
524, 0
525, 1
526, 0
527, 0
528, 1
529, 0
530, 0
531, 0
532, 1
533, 1
534, 1
535, 1
536, 1
537, 0
538, 0
539, 1
540, 0
541, 0
542, 1
543, 1
544, 0
545, 1
546, 1
547, 1
548, 0
549, 0
550, 1
551, 1
552, 1
553, 1
554, 1
555, 0
556, 0
557, 1
558, 1
559, 1
560, 1
561, 1
562, 0
563, 0
564, 1
565, 0
566, 0
567, 0
568, 1
569, 0
570, 0
571, 0
572, 1
573, 1
574, 0
575, 0
576, 1
577, 0
578, 0
579, 1
580, 0
581, 1
582, 0
583, 0
584, 0
585, 1
586, 1
587, 0
588, 1
589, 0
590, 0
591, 1
592, 1
593, 1
594, 0
595, 1
596, 1
597, 0
598, 0
599, 0
600, 1
601, 0
602, 0
603, 0
604, 0
605, 1
606, 0
607, 1
608, 0
609, 0
610, 0
611, 1
612, 0
613, 1
614, 0
615, 0
616, 0
617, 0
618, 0
619, 1
620, 1
621, 1
622, 0
623, 0
624, 0
625, 1
626, 0
627, 0
628, 0
629, 0
630, 0
631, 1
632, 1
633, 0
634, 1
635, 1
636, 1
637, 0
638, 0
639, 1
640, 1
641, 0
642, 0
643, 0
644, 1
645, 0
646, 0
647, 1
648, 1
649, 0
650, 1
651, 0
652, 1
653, 1
654, 1
655, 0
656, 0
657, 1
658, 0
659, 1
660, 1
661, 1
662, 0
663, 1
664, 0
665, 0
666, 0
667, 0
668, 1
669, 1
670, 0
671, 0
672, 0
673, 1
674, 0
675, 1
676, 0
677, 1
678, 0
679, 1
680, 0
681, 1
682, 0
683, 0
684, 1
685, 0
686, 0
687, 0
688, 0
689, 1
690, 1
691, 1
692, 0
693, 0
694, 0
695, 1
696, 1
697, 1
698, 1
699, 1
700, 1
701, 0
702, 0
703, 1
704, 0
705, 1
706, 1
707, 0
708, 0
709, 1
710, 0
711, 1
712, 1
713, 0
714, 1
715, 1
716, 1
717, 1
718, 1
719, 1
720, 0
721, 0
722, 1
723, 1
724, 1
725, 0
726, 1
727, 0
728, 1
729, 0
730, 0
731, 0
732, 1
733, 0
734, 1
735, 0
736, 0
737, 1
738, 1
739, 0
740, 0
741, 1
742, 1
743, 1
744, 0
745, 0
746, 1
747, 1
748, 1
749, 0
750, 1
751, 1
752, 1
753, 0
754, 0
755, 0
756, 0
757, 0
758, 1
759, 0
760, 0
761, 0
762, 1
763, 0
764, 0
765, 0
766, 1
767, 0
768, 0
769, 0
770, 1
771, 0
772, 1
773, 1
774, 0
775, 1
776, 1
777, 1
778, 1
779, 0
780, 1
781, 0
782, 0
783, 1
784, 1
785, 1
786, 0
787, 0
788, 0
789, 0
790, 0
791, 0
792, 1
793, 0
794, 1
795, 0
796, 0
797, 0
798, 0
799, 1
800, 1
801, 1
802, 1
803, 1
804, 0
805, 1
806, 0
807, 0
808, 0
809, 0
810, 1
811, 0
812, 1
813, 0
814, 1
815, 1
816, 1
817, 1
818, 1
819, 0
820, 0
821, 0
822, 1
823, 0
824, 1
825, 1
826, 1
827, 1
828, 1
829, 1
830, 0
831, 1
832, 1
833, 1
834, 0
835, 1
836, 1
837, 1
838, 0
839, 0
840, 0
841, 1
842, 1
843, 0
844, 0
845, 1
846, 0
847, 0
848, 0
849, 1
850, 0
851, 0
852, 1
853, 0
854, 0
855, 0
856, 0
857, 1
858, 1
859, 1
